date	edited_by	job	researched_by	source	state	statement	subjects	truth
2013-08-21	Angie Drobnic Holan	Republican	Jon Greenberg	Mike Lee	Utah	"Says unions call Obamacare ""bad for workers."""	['Health Care', 'Unions']	4
2013-08-21	Elizabeth Miniet, Jim Tharpe		Janel Davis	Karen Handel		"""Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery."""	['Federal Budget', 'Government Efficiency']	2
2013-08-20	Angie Drobnic Holan	Democrat	Jon Greenberg	Barack Obama	Illinois	"""We now sell more products made in America to the rest of the world than ever before."""	['Corrections and Updates', 'Trade']	5
2013-08-19	Aaron Sharockman		Rochelle Koff	Marijuana Policy Project		"Marijuana is ""less toxic"" than alcohol."	['Drugs', 'Health Care', 'Marijuana']	4
2013-08-19	John Bridges	Republican	W. Gardner Selby	Ted Cruz	Texas	"""According to a recent Congressional Budget Office report, under Obamacare, 7 million people will lose their employer-sponsored insurance."""	['Federal Budget', 'Health Care', 'Public Health']	2
2013-08-19	Jim  Denery, Jim Tharpe		Janel Davis	Kasim Reed		Atlanta now has as many visitors as Las Vegas, San Diego and Los Angeles. Orlando, Fla., and New York City still have more visitors.	['Tourism']	4
2013-08-19	Warren Fiske	Republican	Sean Gorman	Eric Cantor	Virginia	"Under Obamacare, ""The IRS will have access to the American people’s protected health care information."""	['Health Care', 'Taxes']	0
2013-08-19	James B. Nelson	Republican	Dave Umhoefer	Scott Walker	Wisconsin	"Says that in his first two years, ""Wisconsin has seen its best two-year job growth in a decade."""	['Economy', 'Job Accomplishments', 'Jobs']	1
2013-08-18	Tom Curran		Caryn Shinske	Mark Kelly		"""Polls show that 96 percent of New Jerseyans – and 95 percent of gun households in the state – support expanding background checks to keep guns away from those who shouldn’t have them."""	['Guns']	5
2013-08-18	James B. Nelson	Democrat	Tom Kertscher	Ron Kind	Wisconsin	"""Since the passage of the Affordable Care Act, U.S. health care spending grew at 3.9 percent for the last three years, the lowest growth rate in over 50 years."""	['Federal Budget', 'Government regulation', 'Health Care']	3
2013-08-18	Tim Murphy	Democrat	C. Eugene Emery Jr.	James Langevin	Rhode Island	Under Obamacare, members of Congress are required to purchase their health insurance from the new exchanges.	['Congress', 'Congressional Rules', 'Health Care']	5
2013-08-16	Bruce  Hammond	None	Ian K. Kullgren	Jim Francesconi	Oregon	"Says ""nearly half of Oregon's children are poor."""	['Poverty']	3
2013-08-16	John Bridges	Republican	W. Gardner Selby	George P. Bush	Texas	"""60 percent of Texas 8th graders are not proficient in math. Only 26% have a teacher with a undergraduate major in math."""	['Education']	4
2013-08-16	Angie Drobnic Holan	Democrat	Louis Jacobson, Julie Kliegman	Organizing for Action	Washington, D.C.	"Sen. Marco Rubio ""refuses to accept the basic science"" on climate change and is ""a climate change denier."""	['Climate Change', 'Environment', 'Science']	4
2013-08-16	Angie Drobnic Holan	Republican	Louis Jacobson	Rand Paul	Kentucky	"Many uninsured Americans are ""young."""	['Health Care']	4
2013-08-16	John Bridges	Republican	W. Gardner Selby	John Cornyn	Texas	According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.	['Civil Rights', 'Elections', 'Legal Issues']	4
2013-08-16	Jim  Denery, Jim Tharpe	Democrat	Eric Stirgus	Kathleen Sebelius	Kansas	Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.	['Medicaid']	4
2013-08-15	W. Gardner Selby	Democrat	Sue Owen	Wendy Davis	Texas	Says that each year, about 25,000 American women become pregnant through rape or incest.	['Abortion', 'Crime']	3
2013-08-15	Angie Drobnic Holan	Republican	Louis Jacobson	Rand Paul	Kentucky	"""Why didn't (uninsured Americans) buy insurance? Because of the expense."""	['Health Care', 'Poverty']	5
2013-08-15	Angie Drobnic Holan	Republican	Louis Jacobson	Rand Paul	Kentucky	"Of the roughly 15 percent of Americans who don’t have health insurance, ""half of them made more than $50,000 a year."""	['Health Care', 'Income']	1
2013-08-15	Jim  Denery, Jim Tharpe		Janel Davis	Kanye West		I have the most Grammys of anyone my age, but I haven't won one against a white person.	['Pop Culture']	2
2013-08-14	Angie Drobnic Holan	Republican	Becky Bowers	Ted Cruz	Texas	"Says ""President Obama just granted all of Congress an exception"" to Obamacare."	['Congress', 'Health Care']	1
2013-08-14	Aaron Sharockman	Republican	Julie Kliegman	Bill Foster	Florida	"""Sixty percent of the auto thefts that we have in (St. Petersburg) are caused by people leaving their keys in the car."""	['Crime']	5
2013-08-14	Angie Drobnic Holan	Republican	Jon Greenberg	Matt Bevin	Kentucky	"Says Mitch McConnell pushed ""the Wall Street bailout through the U.S. Senate"" and called it ""the Senate at its finest."""	['Financial Regulation']	4
2013-08-14	Angie Drobnic Holan	Republican	Jon Greenberg	Mitch McConnell	Kentucky	Says Matt Bevin has repeatedly failed to pay his taxes.	['Ethics', 'Taxes']	2
2013-08-13	Greg Borowski	Republican	Dave Umhoefer	Scott Walker	Wisconsin	"Says President Franklin Delano Roosevelt ""felt there wasn’t a need in the public sector to have collective bargaining because the government is the people."""	['Federal Budget', 'Labor', 'State Budget', 'States', 'Unions']	5
2013-08-13	Angie Drobnic Holan	Democrat	Katie Sanders, Aaron Sharockman	Rick Kriseman	Florida	"""For anybody who's trying to cross the street and has seen those signs that say you have to stop when pedestrians are in the crosswalk, that was a bill that I passed."""	['Florida', 'States']	4
2013-08-13	Angie Drobnic Holan	Republican	Katie Sanders, Aaron Sharockman	Bill Foster	Florida	"Says that while Foster was mayor, Rick Kriseman was ""ineffective"" in the Florida House of Representatives because ""there was no legislation that passed the House that had (Kriseman’s) name on it."""	['Florida', 'States']	3
2013-08-12	Aaron Sharockman	Democrat	Louis Jacobson	Al Sharpton	New York	"Says President Barack Obama ""has taken 92 days of vacation since he was sworn in,"" compared to 367 for President George W. Bush at the same point in his presidency."	['Bush Administration', 'Pundits', 'Recreation']	4
2013-08-12	Angie Drobnic Holan		Louis Jacobson	Chain email		"A United Nations working group has ""adopted a proposed agenda"" to enable member nations to ""disarm civilians within their borders."""	['Guns']	0
2013-08-12	Warren Fiske	Republican	Nancy  Madsen	Ken Cuccinelli	Virginia	Says Virginia saved $300 million by rebidding a Metrorail construction project to exclude guaranteed union contracts.	['Transportation', 'Unions']	3
2013-08-12	Jim  Denery, Jim Tharpe	Democrat	Eric Stirgus	DuBose Porter	Georgia	Says there are half as many students in one Georgia technical college than there were two years ago.	['Education', 'State Finances']	4
2013-08-11	Steve Liebman		Caryn Shinske	Rush Holt		"""We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesn’t support any of these ideas."""	['Environment', 'Financial Regulation', 'Government regulation', 'Privacy']	3
2013-08-11	Greg Borowski	Republican	Tom Kertscher	Ron Johnson	Wisconsin	"On average, college students ""are taking six years to get a four-year degree."""	['Debt', 'Education', 'Jobs']	4
2013-08-11	Tim Murphy	Newsmaker	C. Eugene Emery Jr.	James Vincent	Rhode Island	Twenty four states have voter ID or comparable restrictions; before Barack Obama was elected, it was two.	['Civil Rights', 'Elections', 'History', 'Human Rights', 'Legal Issues']	3
2013-08-10	Warren Fiske	Republican	Sean Gorman	Ken Cuccinelli	Virginia	"""Every (personhood) bill I’ve ever support has either had language that says we’re conforming to the constitutional rulings of the Supreme Court or something to that effect."""	['Abortion', 'Human Rights', 'Voting Record']	1
2013-08-10	Janie Har	Democrat	Yuxing Zheng	Jeff Merkley	Oregon	"Says ""in Oregon today, the average debt upon college graduation is more than $24,000."""	['Debt', 'Education']	4
2013-08-09	Mark Vosburgh	Republican	Stephen Koff	Mary  Taylor	Ohio	"""Ohioans can expect to pay up to 41 percent more for their insurance premiums when Obamacare takes effect next year."""	['Government regulation', 'Health Care']	3
2013-08-09	Angie Drobnic Holan	Democrat	Julie Kliegman	Kathleen Ford	Florida	"""If we use (Tax Increment Financing) funding, that's going to take funds from the general fund for Pinellas County, as it will take funds from the general fund for the city of St. Pete."""	['Taxes']	1
2013-08-09	Angie Drobnic Holan	Republican	Julie Kliegman	Bill Foster	Florida	"""If we don't spend money on a pier, then that money does wipe into the general funds of the city or the county, and if you send it to the county, you never see it again."""	['Taxes']	3
2013-08-09	Janie Har		Ian K. Kullgren	Ellen Rosenblum		"Says ""nearly 29,000 Oregonians — almost 5 percent of all homeowners — are 90 days or more delinquent on their mortgage."""	['Housing']	5
2013-08-09	W. Gardner Selby	Republican	Sue Owen	Jeb Hensarling	Texas	"Says ""the acting chief of the IRS said he – and the majority of IRS employees – would rather stay with his current"" health ""plan than switch to Obamacare."""	['Health Care']	3
2013-08-09	John Bridges	Democrat	W. Gardner Selby	Jim Hightower	Texas	"Says the U.S. Postal Service has taken no taxpayer aid since 1971, funds operations entirely from the sale of stamps and related products and makes an ""operational profit year after year."""	['Federal Budget', 'Financial Regulation', 'Government regulation']	2
2013-08-09	Greg Borowski		Dave Umhoefer	Federation for American Immigration Reform		"""Unemployment has been on the rise throughout Wisconsin"" as Paul Ryan stepped up his advocacy of ""immigration increases."""	['Economy', 'Immigration', 'Jobs']	2
2013-08-09	Jim Tharpe	Republican	Eric Stirgus	Mike Collins	Georgia	Says federal regulations adopted in 2011 increased the cost of each vehicle for his business by $10,000.	['Environment', 'Regulation']	4
2013-08-08	Angie Drobnic Holan	Democrat	Katie Sanders	Kathleen Ford	Florida	"""There is no planned air-conditioned restaurant out on the Lens."""	['Recreation', 'Tourism']	4
2013-08-08	Amy Hollyfield	Democrat	Becky Bowers	Ted Deutch	Florida	"Says Florida refused to allow the insurance commissioner to ""negotiate lower rates with companies or refuse rates that are too high"" under Obamacare."	['Health Care', 'States']	5
2013-08-08	John Bridges	Democrat	W. Gardner Selby	Ramey Ko	Texas	Says some Austin school district classrooms lack electrical outlets.	['Education', 'Technology']	0
2013-08-08	Angie Drobnic Holan	Republican	Louis Jacobson	Paul Ryan	Wisconsin	"""Obamacare … carries on even under a government shutdown."""	['Federal Budget', 'Government Efficiency', 'Health Care']	4
2013-08-07	Amy Hollyfield	Democrat	Jon Greenberg	Jan Schakowsky	Illinois	"""Half of all adults have a pre-existing condition"" that could affect their health care coverage."	['Health Care']	4
2013-08-07	W. Gardner Selby	Democrat	Andra Lim	Wendy Davis	Texas	"""Texas women make an average of $8,355 less per year than men doing the very same job."""	['Economy', 'Jobs', 'Women', 'Workers']	2
2013-08-07	Aaron Sharockman	Democrat	Louis Jacobson	Alan Krueger	Washington, D.C.	"""Since the Affordable Care Act passed, 90 percent of job growth has been in full-time positions."""	['Economy', 'Jobs', 'Workers']	5
2013-08-07	Aaron Sharockman	Republican	Louis Jacobson	Susan Collins	Maine	"""This year, the overwhelming majority of new jobs are part time."""	['Economy', 'Jobs', 'Workers']	5
2013-08-07	Jim  Denery, Jim Tharpe	None	Janel Davis	Nancy  Gordeuk	Georgia	"""The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers."""	['Education']	3
2013-08-06	W. Gardner Selby		Sue Owen	ForAmerica		Says Houston National Cemetery is preventing Christian prayers from being said at military funerals.	['Military', 'Religion']	1
2013-08-06	Jim  Denery, Jim Tharpe	Democrat	Eric Stirgus	Michelle Nunn	Georgia	Says by rejecting an expansion of Medicaid under the new law, Georgia was depriving 25,000 veterans of health care coverage.	['Health Care', 'Veterans']	5
2013-08-05	Angie Drobnic Holan	Republican	Louis Jacobson	Eric Cantor	Virginia	"The federal deficit is ""growing."""	['Deficit', 'Federal Budget']	3
2013-08-05	Angie Drobnic Holan	Republican	Amy Sherman	Marco Rubio	Florida	"Under Obamacare, people who ""have a doctor they’ve been seeing for the last 15 or 20 years, they won’t be able to keep going to that doctor."""	['Health Care']	2
2013-08-05	Daniel Finnegan	Democrat	Sean Gorman	Terry McAuliffe	Virginia	A judge took the Star Scientific tax case away from Ken Cuccinelli	['Ethics', 'Legal Issues']	2
2013-08-05	Tim Murphy	Democrat	C. Eugene Emery Jr.	Brian Schatz	Hawaii	"""For several days in July of 2012, Greenland surface ice cover melted more than at any time in 30 years of satellite observation. During that month, an estimated 97% of the ice sheet thawed."""	['Climate Change', 'Environment', 'Weather']	3
2013-08-04	Tom Curran	Republican	Caryn Shinske	Chris Christie	New Jersey	"""In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington."""	['Taxes']	5
2013-08-04	Greg Borowski	Democrat	Tom Kertscher	Gwen Moore	Wisconsin	"A Republican housing finance reform bill ""would eliminate a person’s ability to obtain 15- and 30-year mortgages."""	['Federal Budget', 'Financial Regulation', 'Housing']	3
2013-08-04	Tim Murphy	Democrat		Elizabeth Roberts	Rhode Island	"""They’ve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented."""	['Health Care']	5
2013-08-02	Bob Gee	Democrat	W. Gardner Selby	Lone Star Project	Washington	"Says Greg Abbott ""converted over $1 million in federal grant money intended for use to prosecute online sexual predators and other cyber crimes and instead used it to harass and prosecute senior citizens who were assisting other senior citizens in applying for mail-in ballots."""	['Crime', 'Criminal Justice', 'Elections', 'Legal Issues']	1
2013-08-02	W. Gardner Selby	Republican	Sue Owen	Dan Patrick	Texas	"Says the 2014-15 state budget ""cut border security and funding to fight criminal gangs."""	['Crime', 'Immigration', 'State Budget']	2
2013-08-02	Angie Drobnic Holan	Republican	Becky Bowers	Tom Cole	Oklahoma	"Says about NSA data collection: ""Every member in both parties who served on the Intelligence Committee voted in favor of this."""	['Civil Rights', 'Congress', 'Homeland Security', 'Privacy', 'Terrorism']	4
2013-08-02	Angie Drobnic Holan	Democrat	Amy Sherman	Florida Democratic Party	Florida	"Rick Scott ""increased tuition at our state colleges and universities by double digits."""	['Education', 'State Budget']	2
2013-08-02	Angie Drobnic Holan	Democrat	Louis Jacobson	Barack Obama	Illinois	"""This year, we're off to our best private-sector jobs growth since 1999."""	['Economy', 'Jobs']	4
2013-08-02	Jim  Denery, Jim Tharpe	Journalist	Janel Davis	Don Lemon	Georgia	"""A high school dropout makes on average $19,000 a year, a high school graduate makes $28,000 a year, a college graduate makes $51,000 a year."""	['Education', 'Pundits']	4
2013-08-01	Aaron Sharockman	Democrat	Katie Sanders	Rick Kriseman	Florida	"""The fact is that red light cameras change driver behavior and cut down on the most dangerous types of accidents."""	['Public Safety']	3
2013-08-01	Angie Drobnic Holan	Republican	Louis Jacobson	Marco Rubio	Florida	"""Even the employees’ union for the IRS -- the very people in charge of enforcing this law -- are begging to be let out from under this law."""	['Health Care', 'Unions']	2
2013-08-01	Bruce  Hammond	Democrat	Ian K. Kullgren	Kari Chisholm	Oregon	"Says Oregon’s political tax credit is something ""every state should have and no other state does."""	['Taxes']	1
2013-08-01	Bob Gee	Republican	W. Gardner Selby	Tom Pauken	Texas	"""Our recent state budgets have far exceeded population and inflation growth."""	['Population', 'State Budget', 'State Finances']	2
2013-08-01	Angie Drobnic Holan	Democrat	Jon Greenberg	Harry Reid	Nevada	"The sequester has ""already lost 1.6 million jobs."""	['Deficit', 'Federal Budget', 'Jobs']	1
2013-08-01	Jane Kahoun	Republican	Tom Feran	Rob Portman	Ohio	"Says the State Department spent $630,000 to get 2 million Facebook ""Likes."""	['Deficit']	5
2013-08-01	Tim Murphy	Democrat	C. Eugene Emery Jr.	David Cicilline	Rhode Island	"""The Congressional Budget Office, a nonpartisan office, did an analysis and said that passing comprehensive immigration reform will reduce the federal deficit by $200 billion over the next decade."""	['Children', 'Congress', 'Debt', 'Deficit', 'Economy', 'Families', 'Immigration', 'Legal Issues', 'Taxes', 'Workers']	5
2013-07-31	Angie Drobnic Holan	Democrat	Louis Jacobson	Barack Obama	Illinois	"The minimum wage is ""lower right now than it was when Ronald Reagan took office."""	['Economy', 'History', 'Workers']	4
2013-07-31	John Bridges	Republican	W. Gardner Selby	Louie Gohmert	Texas	"Says a Justice Department memo ""directs that you must openly embrace gay marriage and homosexuality."""	['Families', 'Gays and Lesbians']	2
2013-07-31	Angie Drobnic Holan	Democrat	Jon Greenberg	Barack Obama	Illinois	"The ""most realistic estimates"" for jobs created by Keystone XL are ""maybe 2,000 jobs during the construction of the pipeline."""	['Climate Change', 'Energy', 'Environment', 'Jobs']	1
2013-07-31	Jim  Denery, Jim Tharpe		Eric Stirgus	Tom Fanning		Government subsidies for renewable energies such as wind and solar are 100 times greater than those given to gas and coal, and 50 times greater than what the nuclear industry enjoys.	['Energy']	3
2013-07-30	Angie Drobnic Holan	None	Amy Sherman	Dream Defenders	Florida	"""Over 12,000 school kids were arrested in Florida. It makes Florida the nation's leader in that area."""	['Children', 'Crime', 'Education']	3
2013-07-30	Angie Drobnic Holan		Louis Jacobson	Bloggers		Ninety million Americans either aren’t working or aren’t looking for work.	['Economy']	2
2013-07-30	Angie Drobnic Holan	Republican	Jon Greenberg, Angie Drobnic Holan	Sarah Palin	Alaska	"""I was banned from talking about"" Bill Ayers during the 2008 presidential campaign."	['Elections', 'Pundits', 'Terrorism']	0
2013-07-30	Jim  Denery, Jim Tharpe	None	Janel Davis	Charles Kuck	Georgia	A provision of the Senate immigration bill would require you to have government permission to get a second job.	['Government regulation', 'Immigration', 'Jobs']	3
2013-07-29	Angie Drobnic Holan	Journalist	Louis Jacobson	Don Lemon	Georgia	"""More than 72 percent of children in the African-American community are born out of wedlock."""	['Children', 'Diversity', 'Families', 'Marriage', 'Pundits', 'Sexuality']	5
2013-07-29	Bruce  Hammond		Ian K. Kullgren	Oregon Catalyst		"Says HJM 20 ""was the only bill not assigned to a House committee."""	['Government Efficiency']	1
2013-07-29	Jane Kahoun	Republican	Stephen Koff	Rob Portman	Ohio	"""I was filibustered."""	['Bipartisanship', 'Congressional Rules']	4
2013-07-29	Angie Drobnic Holan	Republican	Becky Bowers	Marco Rubio	Florida	"Under Obamacare, ""75 percent of small businesses now say they are going to be forced to either fire workers or cut their hours."""	['Economy', 'Health Care', 'Jobs', 'Small Business']	0
2013-07-29	Angie Drobnic Holan	Republican	Louis Jacobson	John Boehner	Ohio	"President Barack Obama has ""announced that he would not sign ANY spending bills this year unless sequestration spending cuts are eliminated."""	['Congressional Rules', 'Federal Budget']	3
2013-07-29	Greg Borowski	Republican	Tom Kertscher	Sean Duffy	Wisconsin	"The federal Consumer Financial Protection Bureau is ""collecting financial information, monitoring financial information of millions of Americans"" without their knowledge and ""storing it for up to 10 years."""	['Bankruptcy', 'Financial Regulation', 'Privacy']	3
2013-07-28	Tom Curran		Bill Wichert	Rush Holt		"""Every single month since 1985 has been warmer than the historic average. All 12 of the warmest years on record have come in the last 15 years."""	['Climate Change', 'Environment']	5
2013-07-28	Tim Murphy	Democrat	C. Eugene Emery Jr.	Helio Melo	Rhode Island	"""Rhode Island has the highest percentage of lawyers per capita in the country."""	['Legal Issues']	1
2013-07-27	Tim Murphy	Democrat		Teresa Tanzi	Rhode Island	"""We have no idea what is contained in [electronic cigarette] vapor."""	['Children', 'Consumer Safety', 'Government regulation', 'Legal Issues', 'Public Health']	1
2013-07-26	W. Gardner Selby	Democrat	Sue Owen	Leticia Van de Putte	Texas	Says residents of Texas and San Antonio can be fired or denied jobs because they are gay.	['City Government', 'Civil Rights', 'Gays and Lesbians', 'Jobs']	3
2013-07-26	Angie Drobnic Holan		Julie Kliegman	Chain email		"""U.S. Department of Homeland Security has told banks -- in writing -- it may inspect safe deposit boxes without warrant and seize any gold, silver, guns or other valuables it finds inside those boxes!"""	['Homeland Security']	0
2013-07-26	Angie Drobnic Holan		Katie Sanders	Republican Party of Florida		"Rick Scott  ""invested $38 million in the Port of Jacksonville's vital Mile Point Project,"" which ""covered missing federal funds for the project."""	['Economy', 'Federal Budget', 'State Budget']	4
2013-07-26	Angie Drobnic Holan	Democrat	Louis Jacobson	Barack Obama	Illinois	"""Our businesses have created nearly twice as many jobs in this recovery as they had at the same point in the last recovery, when there was no Obamacare."""	['Economy', 'Jobs']	3
2013-07-26	Bruce  Hammond	None	Ian K. Kullgren	Portlanders for Water Reform	Oregon	"Says the reasoning behind Portland's high water and sewer rates is ""all kinds of ’pet projects’ unrelated to the core function of the water and sewer bureaus"""	['City Government', 'Government Efficiency', 'Water']	2
2013-07-26	Greg Borowski	Democrat	Dave Umhoefer	Dave Hansen	Wisconsin	"The Republican-authored state budget includes a provision ""forcing people earning as little as $12,000 to buy private health insurance that could cost them as much as $4,000 per year."""	['Health Care', 'State Budget']	1
2013-07-26	Jim  Denery, Jim Tharpe		Janel Davis	Karen Handel		"""The Senate immigration bill is … filled with things like rewards for au pair agencies, Alaskan seafood processors and Vegas casinos."""	['Federal Budget', 'Immigration']	5
2013-07-25	Angie Drobnic Holan	Democrat	Jon Greenberg	Barack Obama	Illinois	"Says ""our deficits are falling at the fastest rate in 60 years."""	['Deficit']	5
2013-07-25	Angie Drobnic Holan	Democrat	Louis Jacobson	Barack Obama	Illinois	"""The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical family’s incomes barely budged."""	['Economy', 'Income']	5
2013-07-25	Angie Drobnic Holan		Amy Sherman	Americans for Prosperity		"Patrick Murphy voted for Obamacare in 2010, ""yet he reversed himself and voted to delay"" the employer mandate and the individual mandate."	['Health Care', 'Voting Record']	2
2013-07-25	Tom Curran	Democrat	Bill Wichert	Sheila Oliver	New Jersey	"""Most of the U.S. Senate is comprised of multimillionaires."""	['Income']	4
2013-07-25	Tim Murphy		C. Eugene Emery Jr.	BuzzFeed		"""In Providence, R.I., it's illegal to sell toothpaste and a toothbrush to the same customer on a Sunday."""	['Legal Issues', 'Pop Culture']	0
2013-07-24	Angie Drobnic Holan	Republican	Louis Jacobson	Newt Gingrich	Georgia	"""Gangs have increased by 40 percent since this president was elected."""	['Crime', 'Pundits']	3
2013-07-24	Angie Drobnic Holan	Democrat	Amy Sherman	Jesse  Jackson	Illinois	"""Homicides against blacks have tripled"" since Florida’s ""stand your ground"" law has been in existence."	['Crime', 'Criminal Justice', 'Diversity']	1
2013-07-24	Angie Drobnic Holan	Democrat	Jon Greenberg	Barack Obama	Illinois	"Says last year ""13 million (health insurance) rebates went out, in all 50 states. Another 8.5 (million) rebates are being sent out this summer, averaging around 100 bucks each."""	['Health Care']	3
2013-07-24	Elizabeth Miniet, Jim Tharpe		Eric Stirgus	American Postal Workers Union		"""The U.S. Postal Service doesn’t run on your tax dollars. It’s funded solely by stamps and postage."""	['Debt', 'Federal Budget']	3
